# Z-Coordinate, Y-Displacement
1.910000e+00, 5.642268e-02
1.915000e+00, 5.322471e-02
1.920000e+00, 5.000963e-02
1.925000e+00, 4.677832e-02
1.930000e+00, 4.353163e-02
1.935000e+00, 4.027047e-02
1.940000e+00, 3.699578e-02
1.945000e+00, 3.370853e-02
1.950000e+00, 3.040970e-02
1.955000e+00, 2.710034e-02
1.960000e+00, 2.378147e-02
1.965000e+00, 2.045418e-02
1.970000e+00, 1.711952e-02
1.975000e+00, 1.377860e-02
1.980000e+00, 1.043252e-02
1.985000e+00, 7.082371e-03
1.990000e+00, 3.729254e-03
1.995000e+00, 3.742501e-04
2.000000e+00, -2.981549e-03
2.005000e+00, -6.337164e-03
2.010000e+00, -9.691290e-03
2.015000e+00, -1.304322e-02
2.020000e+00, -1.639158e-02
2.025000e+00, -1.973571e-02
2.030000e+00, -2.307426e-02
2.035000e+00, -2.640659e-02
2.040000e+00, -2.973137e-02
2.045000e+00, -3.304799e-02
2.050000e+00, -3.635515e-02
2.055000e+00, -3.965222e-02
2.060000e+00, -4.293795e-02
2.065000e+00, -4.621171e-02
2.070000e+00, -4.947243e-02
2.075000e+00, -5.271904e-02
2.080000e+00, -5.595094e-02
2.085000e+00, -5.916695e-02
2.090000e+00, -6.236650e-02
2.095000e+00, -6.554846e-02
2.100000e+00, -6.871230e-02
2.105000e+00, -7.185694e-02
2.110000e+00, -7.498191e-02
2.115000e+00, -7.808620e-02
2.120000e+00, -8.116940e-02
2.125000e+00, -8.423057e-02
2.130000e+00, -8.726940e-02
2.135000e+00, -9.028497e-02
2.140000e+00, -9.327705e-02
2.145000e+00, -9.624482e-02
2.150000e+00, -9.918807e-02
2.155000e+00, -1.021060e-01
2.160000e+00, -1.049986e-01
2.165000e+00, -1.078649e-01
2.170000e+00, -1.107050e-01
2.175000e+00, -1.135180e-01
2.180000e+00, -1.163039e-01
2.185000e+00, -1.190620e-01
2.190000e+00, -1.217921e-01
2.195000e+00, -1.244935e-01
2.200000e+00, -1.271662e-01
2.205000e+00, -1.298093e-01
2.210000e+00, -1.324228e-01
2.215000e+00, -1.350060e-01
2.220000e+00, -1.375586e-01
2.225000e+00, -1.400801e-01
2.230000e+00, -1.425703e-01
2.235000e+00, -1.450285e-01
2.240000e+00, -1.474545e-01
2.245000e+00, -1.498478e-01
2.250000e+00, -1.522079e-01
2.255000e+00, -1.545347e-01
2.260000e+00, -1.568275e-01
2.265000e+00, -1.590862e-01
2.270000e+00, -1.613102e-01
2.275000e+00, -1.634992e-01
2.280000e+00, -1.656528e-01
2.285000e+00, -1.677705e-01
2.290000e+00, -1.698520e-01
2.295000e+00, -1.718969e-01
2.300000e+00, -1.739045e-01
2.305000e+00, -1.758746e-01
2.310000e+00, -1.778065e-01
2.315000e+00, -1.796999e-01
2.320000e+00, -1.815539e-01
2.325000e+00, -1.833684e-01
2.330000e+00, -1.851424e-01
2.335000e+00, -1.868757e-01
2.340000e+00, -1.885674e-01
2.345000e+00, -1.902170e-01
2.350000e+00, -1.918239e-01
2.355000e+00, -1.933876e-01
2.360000e+00, -1.949074e-01
2.365000e+00, -1.963827e-01
2.370000e+00, -1.978129e-01
2.375000e+00, -1.991976e-01
2.380000e+00, -2.005361e-01
2.385000e+00, -2.018279e-01
2.390000e+00, -2.030726e-01
2.395000e+00, -2.042696e-01
2.400000e+00, -2.054185e-01
2.405000e+00, -2.065189e-01
2.410000e+00, -2.075702e-01
2.415000e+00, -2.085721e-01
2.420000e+00, -2.095242e-01
2.425000e+00, -2.104261e-01
2.430000e+00, -2.112773e-01
2.435000e+00, -2.120776e-01
2.440000e+00, -2.128265e-01
2.445000e+00, -2.135238e-01
2.450000e+00, -2.141691e-01
2.455000e+00, -2.147620e-01
2.460000e+00, -2.153024e-01
2.465000e+00, -2.157900e-01
2.470000e+00, -2.162246e-01
2.475000e+00, -2.166059e-01
2.480000e+00, -2.169338e-01
2.485000e+00, -2.172083e-01
2.490000e+00, -2.174293e-01
2.495000e+00, -2.175967e-01
2.500000e+00, -2.177106e-01
2.505000e+00, -2.177711e-01
2.510000e+00, -2.177782e-01
2.515000e+00, -2.177322e-01
2.520000e+00, -2.176332e-01
2.525000e+00, -2.174815e-01
2.530000e+00, -2.172773e-01
2.535000e+00, -2.170210e-01
2.540000e+00, -2.167129e-01
2.545000e+00, -2.163532e-01
2.550000e+00, -2.159425e-01
2.555000e+00, -2.154810e-01
2.560000e+00, -2.149692e-01
2.565000e+00, -2.144075e-01
2.570000e+00, -2.137963e-01
2.575000e+00, -2.131359e-01
2.580000e+00, -2.124269e-01
2.585000e+00, -2.116698e-01
2.590000e+00, -2.108649e-01
2.595000e+00, -2.100127e-01
2.600000e+00, -2.091138e-01
2.605000e+00, -2.081686e-01
2.610000e+00, -2.071777e-01
2.615000e+00, -2.061415e-01
2.620000e+00, -2.050607e-01
2.625000e+00, -2.039358e-01
2.630000e+00, -2.027675e-01
2.635000e+00, -2.015562e-01
2.640000e+00, -2.003026e-01
